"ID","タイトル","巻・号","著者","発行者","発行年","県","市町村","旧市町村","flag","lat","lon"
"https://iss.ndl.go.jp/books/R100000002-I000007597268-00","湯之谷の石佛",,"山之内, 喜七, 1937-","湯之谷村教育委員会",2004,"新潟県","魚沼市","北魚沼郡湯之谷村",0,37.226189,139.008713
"https://iss.ndl.go.jp/books/R100000002-I000007600349-00","福光町の石碑とその物語",,"福光あけぼの会","福光町教育センター",2004,"富山県","南砺市","西礪波郡福光町",0,36.55727,136.875473
"https://iss.ndl.go.jp/books/R100000002-I000007649374-00","山口市の石仏・石塔","2(大殿・白石・湯田)","山口の文化財を守る会","山口市教育委員会",2004,"山口県","山口市",,0,34.178089,131.473267
"https://iss.ndl.go.jp/books/R100000002-I000007718214-00","はくさんの石造物 : 八ツ山地区編",,"白山町教育委員会 (三重県)","白山町教育委員会",2004,"三重県","津市","一志郡白山町",0,34.641312,136.34787
"https://iss.ndl.go.jp/books/R100000002-I000007840152-00","京都石碑探偵",,"伊東, 宗裕, 1951-","光村推古書院",2004,"京都府",,,1,35.022072,135.755707
"https://iss.ndl.go.jp/books/R100000002-I000008017671-00","城・新宿の石造物川島の石造物笹山の石造物江ヶ崎の石造物",,"蓮田市教育委員会","蓮田市教育委員会",2004,"埼玉県","蓮田市",,0,35.99416,139.662735
"https://iss.ndl.go.jp/books/R100000002-I000009192699-00","岩手の石碑","第1分冊","臼澤, 正充","臼澤信行",2004,"岩手県",,,1,39.703041,141.15271
"https://iss.ndl.go.jp/books/R100000002-I000009192703-00","岩手の石碑","第2分冊","臼澤, 正充","臼澤信行",2004,"岩手県",,,1,39.703041,141.15271
"https://iss.ndl.go.jp/books/R100000002-I000009192704-00","岩手の石碑","第3分冊","臼澤, 正充","臼澤信行",2004,"岩手県",,,1,39.703041,141.15271
"https://iss.ndl.go.jp/books/R100000002-I000009192706-00","岩手の石碑","第4分冊","臼澤, 正充","臼澤信行",2004,"岩手県",,,1,39.703041,141.15271
"https://iss.ndl.go.jp/books/R100000002-I000010651497-00","伊方の石造物調査報告書",1,"伊方町教育委員会 (愛媛県)","伊方町教育委員会",2004,"愛媛県","西宇和郡伊方町",,0,33.488739,132.353943
"https://iss.ndl.go.jp/books/R100000002-I023994730-00","相馬市玉野地区の石造物",,"相馬市玉野公民館","相馬市玉野公民館",2005,"福島県","相馬市",,0,37.796669,140.918686
"https://iss.ndl.go.jp/books/R100000002-I025121235-00","昭島市の社寺と石造遺物",,"昭島市教育委員会","昭島市教育委員会",2005,"東京都","昭島市",,0,35.705971,139.354507
"https://iss.ndl.go.jp/books/R100000002-I000007673718-00","武蔵町の石造物","続","清原, 京一, 1917-","武蔵町石造物調査会",2005,"大分県","国東市","東国東郡武蔵町",0,33.50013,131.721695
"https://iss.ndl.go.jp/books/R100000002-I000007691144-00","中野市の石造文化財",,"中野市教育委員会","長野県中野市教育委員会",2005,"長野県","中野市",,0,36.741661,138.369827
"https://iss.ndl.go.jp/books/R100000002-I000007691779-00","連島地区及び玉島港周辺の石造物",,"倉敷市文化財総合調査委員会","倉敷市教育委員会",2005,"岡山県","倉敷市",,0,34.584679,133.771759
"https://iss.ndl.go.jp/books/R100000002-I000007702313-00","幸手の石造物","1(幸手地区)","幸手市教育委員会","幸手市教育委員会",2005,"埼玉県","幸手市",,0,36.078362,139.72522
"https://iss.ndl.go.jp/books/R100000002-I000007713959-00","我孫子の石造物 : 所在地別リスト",,"我孫子市史研究センター","我孫子市史研究センター合同部会",2005,"千葉県","我孫子市",,0,35.86417,140.028214
"https://iss.ndl.go.jp/books/R100000002-I000007717172-00","芳賀町の野仏",,"芳賀町 (栃木県)","芳賀町史編さん委員会",2005,"栃木県","芳賀郡芳賀町",,0,36.548759,140.058945
"https://iss.ndl.go.jp/books/R100000002-I000007721273-00","沼名前神社の石造物 : 石が語る鞆の津の歴史",,"福山市鞆の浦歴史民俗資料館友の会","福山市鞆の浦歴史民俗資料館活動推進協議会",2005,"広島県","福山市",,0,34.485809,133.362686
"https://iss.ndl.go.jp/books/R100000002-I000007727594-00","幡豆の石造物",,"幡豆町教育委員会 (愛知県)","幡豆町教育委員会",2005,"愛知県","西尾市","幡豆郡幡豆町",0,34.814072,137.131287
"https://iss.ndl.go.jp/books/R100000002-I000007738182-00","野田市の筆子塔 : 石造物に見る寺子屋師匠達",,"野田地方史懇話会","野田地方史懇話会",2005,"千葉県","野田市",,1,35.955769,139.874084
"https://iss.ndl.go.jp/books/R100000002-I000007742274-00","畔吉諏訪神社の石造物に見られる石工のこと藤原朝弘のこと",,"上尾市教育委員会","埼玉県上尾市教育委員会",2005,"埼玉県","上尾市",,0,35.977119,139.59314
"https://iss.ndl.go.jp/books/R100000002-I000007767449-00","湯原町の石仏・石造物",,"湯原町文化財専門委員会","湯原町教育委員会",2005,"岡山県","真庭市","真庭郡湯原町",0,35.19529,133.731827
"https://iss.ndl.go.jp/books/R100000002-I000007768067-00","交野市の石造文化財","1(私市・私部・神宮寺・倉治地区編)","交野市教育委員会","交野市教育委員会",2005,"大阪府","交野市",,0,34.788109,135.67926
"https://iss.ndl.go.jp/books/R100000002-I000007835192-00","玉村町誌","別巻 9 (玉村町の石造物)","玉村町歴史資料館 (群馬県)","玉村町誌刊行委員会",2005,"群馬県","佐波郡玉村町",,0,36.30442,139.114899
"https://iss.ndl.go.jp/books/R100000002-I000007931101-00","佐渡金銀山 : 相川地区石造物分布調査報告書",,"佐渡市教育委員会","佐渡市教育委員会",2005,"新潟県","佐渡市",,0,38.017311,138.36911
"https://iss.ndl.go.jp/books/R100000002-I000007935257-00","金井町の石佛 : 中川喜代治先生遺稿",,"中川, 喜代治, 1916-1993","中川喜代治遺稿刊行会",2005,"新潟県","佐渡市","佐渡郡金井町",1,38.017311,138.36911
"https://iss.ndl.go.jp/books/R100000002-I000008017673-00","黒浜の石造物",,"蓮田市教育委員会","蓮田市教育委員会",2005,"埼玉県","蓮田市",,0,35.99416,139.662735
"https://iss.ndl.go.jp/books/R100000002-I000008021394-00","御殿場の石仏","上巻(解説編)","御殿場市文化財審議会","御殿場市教育委員会",2005,"静岡県","御殿場市",,0,35.308449,138.933853
"https://iss.ndl.go.jp/books/R100000002-I000008021422-00","御殿場の石仏","中巻(御殿場・高根地区写真編)","御殿場市文化財審議会","御殿場市教育委員会",2005,"静岡県","御殿場市",,0,35.308449,138.933853
"https://iss.ndl.go.jp/books/R100000002-I000008021440-00","御殿場の石仏","下巻(富士岡・原里・玉穂・印野地区写真編)","御殿場市文化財審議会","御殿場市教育委員会",2005,"静岡県","御殿場市",,0,35.308449,138.933853
"https://iss.ndl.go.jp/books/R100000002-I000008030126-00","はくさんの石造物 : 家城地区編",,"白山町教育委員会 (三重県)","白山町教育委員会",2005,"三重県","津市","一志郡白山町",0,34.641312,136.34787
"https://iss.ndl.go.jp/books/R100000002-I000008049293-00","石碑の備忘録 : 南砺市安居地区の石碑と榜示石",,"斉藤, 善夫, 1920-","[斉藤善夫]",2005,"富山県","南砺市",,1,36.58799,136.919495
"https://iss.ndl.go.jp/books/R100000002-I000008139873-00","飯能の石塔 : 浄土への道標",,"飯能市教育委員会","埼玉県飯能市教育委員会",2005,"埼玉県","飯能市",,0,35.856041,139.329514
"https://iss.ndl.go.jp/books/R100000002-I000009315401-00","嬉野町石塔調査報告 : 佐賀県嬉野町に所在する中世主要石塔の調査",,"嬉野町教育委員会 (佐賀県)","嬉野町教育委員会",2005,"佐賀県","嬉野市","藤津郡嬉野町",0,33.10025,129.986511
"https://iss.ndl.go.jp/books/R100000002-I000009413920-00","伊東市の石造文化財",,"伊東市教育委員会","伊東市教育委員会",2005,"静岡県","伊東市",,0,34.96558,139.101913
"https://iss.ndl.go.jp/books/R100000002-I000010075103-00","福田町の史跡 : 寺社・石造物・秋葉常夜灯・稲荷社・地蔵等",,"福田町文化財保護審議会","福田町教育委員会",2005,"静岡県","磐田市","磐田郡福田町",0,34.718369,137.850769
"https://iss.ndl.go.jp/books/R100000002-I000010986608-00","東山づきの石仏 : 佐久市東区石造文化財集成",,"岡村, 知彦, 1943-","[岡村知彦]",2005,"長野県","佐久市",,1,36.248859,138.477112
"https://iss.ndl.go.jp/books/R100000002-I030718170-00","鴻巣の石造物","馬室・常光地区","鴻巣市","埼玉県鴻巣市",2006,"埼玉県","鴻巣市",,0,36.065868,139.522003
"https://iss.ndl.go.jp/books/R100000002-I000008070139-00","御坊市の石造物",,"御坊文化財研究会","御坊文化財研究会",2006,"和歌山県","御坊市",,1,33.890369,135.152069
